IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.148.240.226,443,443,true,FRA,Europe,Frankfurt,174,10.87
138.2.13.133,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.85
138.2.11.179,8443,8443,true,NRT,Asia Pacific,Tokyo,90,10.85
138.2.20.230,2096,2096,true,NRT,Asia Pacific,Tokyo,77,10.85
140.238.33.165,2083,2083,true,NRT,Asia Pacific,Tokyo,88,10.84
141.147.189.242,2087,2087,true,NRT,Asia Pacific,Tokyo,94,10.84
138.3.215.11,8880,8880,false,NRT,Asia Pacific,Tokyo,74,10.83
138.2.14.164,2087,2087,true,NRT,Asia Pacific,Tokyo,81,10.83
138.3.212.226,2083,2083,true,NRT,Asia Pacific,Tokyo,115,10.83
150.230.220.232,8443,8443,true,NRT,Asia Pacific,Tokyo,104,10.82
141.147.166.189,2095,2095,false,NRT,Asia Pacific,Tokyo,79,10.82
158.179.186.138,80,80,false,NRT,Asia Pacific,Tokyo,79,10.82
141.147.169.131,8443,8443,true,NRT,Asia Pacific,Tokyo,115,10.82
150.230.220.232,2083,2083,true,NRT,Asia Pacific,Tokyo,76,10.81
158.179.188.159,2083,2083,true,NRT,Asia Pacific,Tokyo,188,10.80
89.168.82.219,443,443,true,FRA,Europe,Frankfurt,187,10.80
141.147.164.153,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.77
138.2.14.248,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.77
138.3.214.43,2082,2082,false,NRT,Asia Pacific,Tokyo,86,10.77
150.230.109.252,8080,8080,false,NRT,Asia Pacific,Tokyo,88,10.77
150.230.107.197,2087,2087,true,NRT,Asia Pacific,Tokyo,118,10.76
141.147.191.211,2095,2095,false,NRT,Asia Pacific,Tokyo,94,10.76
141.147.67.190,443,443,true,FRA,Europe,Frankfurt,175,10.75
150.230.216.117,2082,2082,false,NRT,Asia Pacific,Tokyo,79,10.75
141.147.181.148,8080,8080,false,NRT,Asia Pacific,Tokyo,80,10.73
84.235.168.191,443,443,true,FRA,Europe,Frankfurt,174,10.73
158.101.206.70,8443,443,true,AMS,Europe,Amsterdam,189,10.72
150.230.220.232,2053,2053,true,NRT,Asia Pacific,Tokyo,154,10.72
138.2.14.164,2053,2053,true,NRT,Asia Pacific,Tokyo,74,10.72
141.147.191.211,8443,8443,true,NRT,Asia Pacific,Tokyo,100,10.72
151.145.71.40,2095,2095,false,NRT,Asia Pacific,Tokyo,86,10.71
143.47.176.249,443,443,true,FRA,Europe,Frankfurt,167,10.71
151.145.74.56,8080,8080,false,NRT,Asia Pacific,Tokyo,75,10.71
144.21.35.177,443,443,true,FRA,Europe,Frankfurt,167,10.70
158.179.188.7,2087,2087,true,NRT,Asia Pacific,Tokyo,191,10.69
144.21.60.158,443,443,true,FRA,Europe,Frankfurt,184,10.69
158.178.241.45,8080,8080,false,SIN,Asia Pacific,Singapore,3,10.68
150.230.222.185,2083,2083,true,NRT,Asia Pacific,Tokyo,104,10.68
158.179.188.7,2083,2083,true,NRT,Asia Pacific,Tokyo,79,10.67
150.230.98.39,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.66
138.3.223.50,80,80,false,NRT,Asia Pacific,Tokyo,90,10.66
150.230.101.125,2052,2052,false,NRT,Asia Pacific,Tokyo,76,10.65
129.146.46.164,443,443,true,LAX,North America,Los Angeles,230,10.64
143.47.182.59,443,443,true,FRA,Europe,Frankfurt,171,10.64
150.230.213.95,80,80,false,NRT,Asia Pacific,Tokyo,77,10.64
138.2.24.114,2095,2095,false,NRT,Asia Pacific,Tokyo,77,10.63
150.230.219.168,2087,2087,true,NRT,Asia Pacific,Tokyo,141,10.61
138.3.212.226,2096,2096,true,NRT,Asia Pacific,Tokyo,78,10.60
150.230.116.161,443,443,true,FRA,Europe,Frankfurt,165,10.58
150.230.97.239,2095,2095,false,NRT,Asia Pacific,Tokyo,96,10.58
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,175,10.58
141.147.168.13,8080,8080,false,NRT,Asia Pacific,Tokyo,92,10.57
143.47.184.80,443,443,true,FRA,Europe,Frankfurt,159,10.57
151.145.75.28,8880,8880,false,NRT,Asia Pacific,Tokyo,99,10.57
138.2.20.230,80,80,false,NRT,Asia Pacific,Tokyo,89,10.57
151.145.65.8,8443,8443,true,NRT,Asia Pacific,Tokyo,92,10.56
89.168.110.94,443,443,true,FRA,Europe,Frankfurt,173,10.56
138.2.20.230,2052,2052,false,NRT,Asia Pacific,Tokyo,81,10.56
144.21.42.104,443,443,true,CDG,Europe,Paris,182,10.56
130.162.233.223,443,443,true,FRA,Europe,Frankfurt,178,10.56
138.3.210.114,2096,2096,true,NRT,Asia Pacific,Tokyo,95,10.55
141.147.95.0,443,443,true,FRA,Europe,Frankfurt,182,10.55
141.147.178.135,8880,8880,false,NRT,Asia Pacific,Tokyo,77,10.55
141.147.178.115,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.54
158.179.188.159,2095,2095,false,NRT,Asia Pacific,Tokyo,85,10.54
138.3.217.39,2053,2053,true,NRT,Asia Pacific,Tokyo,78,10.51
151.145.66.219,2052,2052,false,NRT,Asia Pacific,Tokyo,74,10.51
158.179.186.138,2083,2083,true,NRT,Asia Pacific,Tokyo,79,10.51
141.147.174.190,8880,8880,false,NRT,Asia Pacific,Tokyo,76,10.50
158.179.188.7,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.50
140.83.36.42,2052,2052,false,NRT,Asia Pacific,Tokyo,92,10.50
141.147.178.115,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.49
138.2.12.32,2052,2052,false,NRT,Asia Pacific,Tokyo,77,10.49
89.168.90.98,443,443,true,FRA,Europe,Frankfurt,168,10.48
138.2.12.32,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.47
158.179.189.106,2083,2083,true,NRT,Asia Pacific,Tokyo,100,10.46
150.230.221.219,2083,2083,true,NRT,Asia Pacific,Tokyo,121,10.46
151.145.65.8,2083,2083,true,NRT,Asia Pacific,Tokyo,93,10.45
141.147.164.123,8880,8880,false,NRT,Asia Pacific,Tokyo,90,10.45
141.144.196.213,443,443,true,FRA,Europe,Frankfurt,166,10.44
138.2.15.8,80,80,false,NRT,Asia Pacific,Tokyo,86,10.44
141.147.169.131,2086,2086,false,NRT,Asia Pacific,Tokyo,78,10.43
138.2.12.32,2086,2086,false,NRT,Asia Pacific,Tokyo,91,10.42
150.230.219.83,8880,8880,false,NRT,Asia Pacific,Tokyo,79,10.42
141.147.164.153,80,80,false,NRT,Asia Pacific,Tokyo,78,10.42
140.238.54.182,2087,2087,true,NRT,Asia Pacific,Tokyo,75,10.42
140.83.36.42,2082,2082,false,NRT,Asia Pacific,Tokyo,83,10.41
151.145.71.127,8880,8880,false,NRT,Asia Pacific,Tokyo,79,10.41
138.3.211.101,2086,2086,false,NRT,Asia Pacific,Tokyo,77,10.41
150.230.213.95,8443,8443,true,NRT,Asia Pacific,Tokyo,84,10.41
138.2.20.230,8443,8443,true,NRT,Asia Pacific,Tokyo,107,10.41
158.179.186.251,8080,8080,false,NRT,Asia Pacific,Tokyo,88,10.40
141.145.199.188,443,443,true,CDG,Europe,Paris,159,10.40
141.147.181.148,2086,2086,false,NRT,Asia Pacific,Tokyo,78,10.40
84.235.161.108,443,443,true,AMS,Europe,Amsterdam,185,10.40
150.230.107.94,8880,8880,false,NRT,Asia Pacific,Tokyo,89,10.39
150.230.150.183,443,443,true,FRA,Europe,Frankfurt,189,10.39
150.230.105.53,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.38
138.3.212.226,8880,8880,false,NRT,Asia Pacific,Tokyo,91,10.38
